trip_id,start_time,isPassingPeriod,days
30805,1000,,
30806,1015,,
30807,1030,1,
30808,1135,,
30809,1200,,
30810,1230,,
30811,1300,,
30812,1325,,
30813,1415,,
31601,1330,,
31602,1345,,
31603,1400,,
31604,1415,,
31605,1500,,
31606,1525,,
31607,1545,,
31608,1650,,
31609,1715,,
31610,1745,,
31611,1800,,
31612,1815,,
31613,1900,1,
31614,1930,,
31615,2000,,
31616,2045,,
20805,1000,,
20806,1025,,
20807,1150,,
20808,1215,,
20809,1245,,
20810,1300,,
20811,1315,,
20812,1400,,
20813,1425,,
21601,1330,,
21602,1350,,
21603,1410,,
21604,1505,,
21605,1545,,
21606,1610,,
21607,1735,,
21608,1800,,
21609,1815,,
21610,1830,,
21611,1900,1,
21612,1940,,
21613,2015,,
21614,2030,,
21615,2045,,
60101,1630,,
60102,1700,,
60103,1730,,
60104,1800,,
60105,1900,,
60106,1930,,
60107,2000,,
60108,2130,,
60109,2200,,
60110,2330,,
60111,2400,,
60201,1645,,
60202,1715,,
60203,1745,,
60204,1830,,
60205,1945,,
60206,2030,,
60207,2100,,
60208,2230,,
60209,2300,,
60210,2400,,
