arrival_time,departure_time,stop_id,stop_sequence,timepoint,*shape_id
,,1341,1,1,
,,1342,2,0,
,,2669,3,0,
,,1501,4,0,
,,2101,5,0,
,,2102,6,1,
,,1617,7,0,
,,1616,8,0,
,,1615,9,1,Counter Clockwise Loop to Main Entrance
,,1509,10,0,Counter Clockwise Loop to Main Entrance
,,2448,11,0,Counter Clockwise Loop to Main Entrance
,,2516,12,0,Counter Clockwise Loop to Main Entrance
,,1505,13,1,Counter Clockwise Loop to Main Entrance
,,2328,14,0,Counter Clockwise Loop to Main Entrance
,,2739,15,0,Counter Clockwise Loop to Main Entrance
,,1510,16,0,Counter Clockwise Loop to Main Entrance
,,1341,17,1,DROP OFF ONLY
