arrival_time,departure_time,stop_id,stop_sequence,timepoint,*shape_id
,,1341,1,1,
,,1342,2,0,
,,2669,3,0,
,,1501,4,0,
,,2101,5,0,
,,2102,6,1,Special Loop to Coastal Campus
,,1617,7,0,Special Loop to Coastal Campus
,,1616,8,0,Special Loop to Coastal Campus
,,1615,9,1,Special Loop to Coastal Campus
,,1509,10,0,Special Loop to Coastal Campus
,,2448,11,0,Special Loop to Coastal Campus
,,2516,12,0,Special Loop to Coastal Campus
,,1505,13,1,Special Loop to Coastal Campus
,,2328,14,0,Special Loop to Coastal Campus
,,2739,15,0,Special Loop to Coastal Campus
,,1510,16,0,Special Loop to Coastal Campus
,,1341,17,0,Loop->Westside Connector to Coastal Campus
,,122,18,1,Loop->Westside Connector to Coastal Campus
