arrival_time,departure_time,stop_id,stop_sequence,timepoint,*shape_id
,,2701,1,1,
,,1591,2,,
,,2731,3,,
,,1630,4,,
,,1624,5,1,
,,1620,6,,
,,2342,7,,
,,2344,8,,
,,1907,9,,
,,2393,10,,
,,1909,11,,
,,1910,12,,
,,1510,13,,
,,1341,14,,
,,1342,15,,
,,2669,16,,
,,1501,17,,
,,2101,18,,
,,2102,19,,Mission to Main Entrance
,,1617,20,,Mission to Main Entrance
,,1616,21,,Mission to Main Entrance
,,1615,22,1,Mission to Main Entrance
,,1509,23,,Mission to Main Entrance
,,2448,24,,Mission to Main Entrance
,,2516,25,,Mission to Main Entrance
,,1505,26,,Mission to Main Entrance
,,2328,27,,Mission to Main Entrance
,,2739,28,1,Mission to Main Entrance
