arrival_time,departure_time,stop_id,stop_sequence,timepoint,*shape_id
,,2375,1,1,
,,2374,2,,
,,1385,3,,
,,2670,4,,LAUREL to Downtown
,,2671,5,,LAUREL to Downtown
,,2672,6,,LAUREL to Downtown
,,2673,7,,LAUREL to Downtown
,,2674,8,1,LAUREL to Downtown
,,2675,9,,LAUREL to Downtown
,,2676,10,,LAUREL to Downtown
,,2677,11,,LAUREL to Downtown
,,2678,12,,LAUREL to Downtown
,,2679,13,,LAUREL to Downtown
,,2376,14,1,LAUREL to Downtown
,,1231,15,,LAUREL to Downtown
,,2056,16,,LAUREL to Downtown
,,1625,17,1,LAUREL to Downtown
,,1629,18,,LAUREL to Downtown
,,1590,19,,LAUREL to Downtown
,,2700,20,1,DROP OFF ONLY
