arrival_time,departure_time,stop_id,stop_sequence,timepoint,*shape_id
,,2701,1,1,
,,1591,2,,
,,2731,3,,
,,1630,4,,
,,1624,5,1,
,,1620,6,,
,,2342,7,,
,,2344,8,,
,,1907,9,,
,,2393,10,,
,,1909,11,,
,,1910,12,,
,,1510,13,,
,,1341,14,,
,,1342,15,,
,,2669,16,,
,,1501,17,,
,,2101,18,,
,,2102,19,,Mission to Downtown
,,1617,20,,Mission to Downtown
,,1616,21,,Mission to Downtown
,,1615,22,1,Mission to Downtown
,,1509,23,,Mission to Downtown
,,2448,24,,Mission to Downtown
,,2516,25,,Mission to Downtown
,,1505,26,,Mission to Downtown
,,2328,27,,Mission to Downtown
,,2739,28,,Mission to Downtown
,,2659,29,,Mission to Downtown
,,2661,30,,Mission to Downtown
,,2663,31,,Mission to Downtown
,,2619,32,,Mission to Downtown
,,1619,33,,Mission to Downtown
,,1623,34,1,Mission to Downtown
,,1625,35,,Mission to Downtown
,,1629,36,,Mission to Downtown
,,1590,37,,Mission to Downtown
,,2700,38,1,DROP OFF ONLY
