arrival_time,departure_time,stop_id,stop_sequence,timepoint,*shape_id
,,2701,1,1,
,,1591,2,,
,,2731,3,,
,,1630,4,,
,,1226,5,1,
,,1227,6,,
,,1228,7,,
,,1230,8,,
,,1232,9,,
,,2375,10,1,
,,2374,11,,
,,1385,12,,
,,2670,13,,LAUREL to Main Entrance
,,2671,14,,LAUREL to Main Entrance
,,2672,15,,LAUREL to Main Entrance
,,2673,16,,LAUREL to Main Entrance
,,2674,17,1,LAUREL to Main Entrance
,,2675,18,,LAUREL to Main Entrance
,,2676,19,,LAUREL to Main Entrance
,,2677,20,,LAUREL to Main Entrance
,,2678,21,,LAUREL to Main Entrance
,,2679,22,,LAUREL to Main Entrance
,,2376,23,1,DROP OFF ONLY
