segment,start_stop,end_stop,start_time,end_time,run
Main Gates to ERM,1341,100,00:00:00,07:35:00,5
ERM to Sci Hill,2102,1615,00:00:00,07:35:00,7
Sci Hill to Oakes,1615,1505,00:00:00,07:35:00,5
Oakes to Main Gt,1505,1341,00:00:00,07:35:00,4
Main Gates to ERM,1341,100,07:35:00,07:55:00,6
ERM to Sci Hill,2102,1615,07:35:00,07:55:00,8
Sci Hill to Oakes,1615,1505,07:35:00,07:55:00,5
Oakes to Main Gt,1505,1341,07:35:00,07:55:00,5
Main Gates to ERM,1341,100,07:55:00,09:15:00,6
ERM to Sci Hill,2102,1615,07:55:00,09:15:00,8
Sci Hill to Oakes,1615,1505,07:55:00,09:15:00,5
Oakes to Main Gt,1505,1341,07:55:00,09:15:00,5
Main Gates to ERM,1341,100,09:15:00,09:45:00,7
ERM to Sci Hill,2102,1615,09:15:00,09:45:00,9
Sci Hill to Oakes,1615,1505,09:15:00,09:45:00,6
Oakes to Main Gt,1505,1341,09:15:00,09:45:00,5
Main Gates to ERM,1341,100,09:45:00,11:05:00,6
ERM to Sci Hill,2102,1615,09:45:00,11:05:00,8
Sci Hill to Oakes,1615,1505,09:45:00,11:05:00,5
Oakes to Main Gt,1505,1341,09:45:00,11:05:00,5
Main Gates to ERM,1341,100,11:05:00,11:35:00,7
ERM to Sci Hill,2102,1615,11:05:00,11:35:00,9
Sci Hill to Oakes,1615,1505,11:05:00,11:35:00,6
Oakes to Main Gt,1505,1341,11:05:00,11:35:00,5
Main Gates to ERM,1341,100,11:35:00,12:55:00,6
ERM to Sci Hill,2102,1615,11:35:00,12:55:00,8
Sci Hill to Oakes,1615,1505,11:35:00,12:55:00,5
Oakes to Main Gt,1505,1341,11:35:00,12:55:00,5
Main Gates to ERM,1341,100,12:55:00,13:25:00,7
ERM to Sci Hill,2102,1615,12:55:00,13:25:00,9
Sci Hill to Oakes,1615,1505,12:55:00,13:25:00,6
Oakes to Main Gt,1505,1341,12:55:00,13:25:00,5
Main Gates to ERM,1341,100,13:25:00,14:45:00,6
ERM to Sci Hill,2102,1615,13:25:00,14:45:00,8
Sci Hill to Oakes,1615,1505,13:25:00,14:45:00,5
Oakes to Main Gt,1505,1341,13:25:00,14:45:00,5
Main Gates to ERM,1341,100,14:45:00,15:15:00,7
ERM to Sci Hill,2102,1615,14:45:00,15:15:00,9
Sci Hill to Oakes,1615,1505,14:45:00,15:15:00,6
Oakes to Main Gt,1505,1341,14:45:00,15:15:00,5
Main Gates to ERM,1341,100,15:15:00,16:45:00,6
ERM to Sci Hill,2102,1615,15:15:00,16:45:00,8
Sci Hill to Oakes,1615,1505,15:15:00,16:45:00,5
Oakes to Main Gt,1505,1341,15:15:00,16:45:00,5
Main Gates to ERM,1341,100,16:45:00,17:05:00,7
ERM to Sci Hill,2102,1615,16:45:00,17:05:00,9
Sci Hill to Oakes,1615,1505,16:45:00,17:05:00,6
Oakes to Main Gt,1505,1341,16:45:00,17:05:00,5
Main Gates to ERM,1341,100,17:05:00,17:25:00,7
ERM to Sci Hill,2102,1615,17:05:00,17:25:00,9
Sci Hill to Oakes,1615,1505,17:05:00,17:25:00,6
Oakes to Main Gt,1505,1341,17:05:00,17:25:00,5
Main Gates to ERM,1341,100,17:25:00,18:35:00,6
ERM to Sci Hill,2102,1615,17:25:00,18:35:00,8
Sci Hill to Oakes,1615,1505,17:25:00,18:35:00,5
Oakes to Main Gt,1505,1341,17:25:00,18:35:00,5
Main Gates to ERM,1341,100,18:35:00,18:55:00,6
ERM to Sci Hill,2102,1615,18:35:00,18:55:00,8
Sci Hill to Oakes,1615,1505,18:35:00,18:55:00,5
Oakes to Main Gt,1505,1341,18:35:00,18:55:00,5
Main Gates to ERM,1341,100,18:55:00,19:05:00,7
ERM to Sci Hill,2102,1615,18:55:00,19:05:00,9
Sci Hill to Oakes,1615,1505,18:55:00,19:05:00,6
Oakes to Main Gt,1505,1341,18:55:00,19:05:00,5
Main Gates to ERM,1341,100,19:05:00,20:55:00,6
ERM to Sci Hill,2102,1615,19:05:00,20:55:00,8
Sci Hill to Oakes,1615,1505,19:05:00,20:55:00,5
Oakes to Main Gt,1505,1341,19:05:00,20:55:00,5
Main Gates to ERM,1341,100,20:55:00,23:59:00,5
ERM to Sci Hill,2102,1615,20:55:00,23:59:00,7
Sci Hill to Oakes,1615,1505,20:55:00,23:59:00,5
Oakes to Main Gt,1505,1341,20:55:00,23:59:00,4
