stop_id,stop_sequence,timepoint,shape_dist_traveled,drop_off_type,pickup_type,stop_headsign
1341,1,1,0,,,
1342,2,0,0.518,,,
2669,3,0,1.108,,,
100,4,1,1.971,,,
1501,5,0,2.294,,,Counter Clockwise Loop
2101,6,0,2.644,,,Counter Clockwise Loop
2102,7,0,3.011,,,Counter Clockwise Loop
1617,8,0,3.192,,,Counter Clockwise Loop
1616,9,0,3.526,,,Counter Clockwise Loop
1615,10,1,3.914,,,Counter Clockwise Loop
1509,11,0,4.122,,,Counter Clockwise Loop
2448,12,0,4.938,,,Counter Clockwise Loop
2516,13,0,5.159,,,Counter Clockwise Loop
1505,14,1,5.422,,,Counter Clockwise Loop
2328,15,0,6.284,,,Counter Clockwise Loop
2739,16,0,6.945,,,Counter Clockwise Loop
1510,17,0,7.135,,,Counter Clockwise Loop
1341,18,1,7.607,,1,Counter Clockwise Loop
