segment,start_stop,end_stop,start_time,end_time,run
WRM to Oakes,101,2670,00:00:00,06:00:00,1
Oakes to Science Hill,2670,2674,00:00:00,06:00:00,5
Science Hill to Cowste,2674,2676,00:00:00,06:00:00,4
Cowste to Main Gate,2676,1341,00:00:00,06:00:00,5
WRM to Oakes,101,2670,06:00:00,17:15:00,1
Oakes to Science Hill,2670,2674,06:00:00,17:15:00,5
Science Hill to Cowste,2674,2676,06:00:00,17:15:00,4
Cowste to Main Gate,2676,1341,06:00:00,17:15:00,5
WRM to Oakes,101,2670,17:15:00,17:25:00,1
Oakes to Science Hill,2670,2674,17:15:00,17:25:00,5
Science Hill to Cowste,2674,2676,17:15:00,17:25:00,4
Cowste to Main Gate,2676,1341,17:15:00,17:25:00,5
WRM to Oakes,101,2670,17:25:00,18:35:00,1
Oakes to Science Hill,2670,2674,17:25:00,18:35:00,5
Science Hill to Cowste,2674,2676,17:25:00,18:35:00,4
Cowste to Main Gate,2676,1341,17:25:00,18:35:00,5
WRM to Oakes,101,2670,18:35:00,18:55:00,1
Oakes to Science Hill,2670,2674,17:25:00,18:35:00,5
Science Hill to Cowste,2674,2676,17:25:00,18:35:00,4
Cowste to Main Gate,2676,1341,17:25:00,18:35:00,5
WRM to Oakes,101,2670,18:55:00,19:05:00,1
Oakes to Science Hill,2670,2674,18:55:00,19:05:00,5
Science Hill to Cowste,2674,2676,18:55:00,19:05:00,4
Cowste to Main Gate,2676,1341,18:55:00,19:05:00,5
WRM to Oakes,101,2670,19:05:00,23:59:00,1
Oakes to Science Hill,2670,2674,19:05:00,23:59:00,5
Science Hill to Cowste,2674,2676,19:05:00,23:59:00,4
Cowste to Main Gate,2676,1341,19:05:00,23:59:00,5
