segment,start_stop,end_stop,start_time,end_time,run
ERM to Cowell,100,2102,06:00:00,07:45:00,3
Cowell to Sci Hill,2102,1615,06:00:00,07:45:00,4
Sci Hill to Oakes,1615,1505,06:00:00,07:45:00,4
Oakes to WRM,1505,101,06:00:00,07:45:00,1
ERM to Cowell,100,2102,07:45:00,08:05:00,3
Cowell to Sci Hill,2102,1615,07:45:00,08:05:00,4
Sci Hill to Oakes,1615,1505,07:45:00,08:05:00,5
Oakes to WRM,1505,101,07:45:00,08:05:00,1
ERM to Cowell,100,2102,08:05:00,08:45:00,3
Cowell to Sci Hill,2102,1615,08:05:00,08:45:00,4
Sci Hill to Oakes,1615,1505,08:05:00,08:45:00,4
Oakes to WRM,1505,101,08:05:00,08:45:00,1
ERM to Cowell,100,2102,08:45:00,09:05:00,3
Cowell to Sci Hill,2102,1615,08:45:00,09:05:00,4
Sci Hill to Oakes,1615,1505,08:45:00,09:05:00,5
Oakes to WRM,1505,101,08:45:00,09:05:00,1
ERM to Cowell,100,2102,09:05:00,09:25:00,3
Cowell to Sci Hill,2102,1615,09:05:00,09:25:00,4
Sci Hill to Oakes,1615,1505,09:05:00,09:25:00,4
Oakes to WRM,1505,101,09:05:00,09:25:00,1
ERM to Cowell,100,2102,09:24:00,10:05:00,3
Cowell to Sci Hill,2102,1615,09:24:00,10:05:00,4
Sci Hill to Oakes,1615,1505,09:24:00,10:05:00,4
Oakes to WRM,1505,101,09:24:00,10:05:00,1
ERM to Cowell,100,2102,10:05:00,10:15:00,3
Cowell to Sci Hill,2102,1615,10:05:00,10:15:00,4
Sci Hill to Oakes,1615,1505,10:05:00,10:15:00,5
Oakes to WRM,1505,101,10:05:00,10:15:00,1
ERM to Cowell,100,2102,10:15:00,10:35:00,3
Cowell to Sci Hill,2102,1615,10:15:00,10:35:00,4
Sci Hill to Oakes,1615,1505,10:15:00,10:35:00,5
Oakes to WRM,1505,101,10:15:00,10:35:00,1
ERM to Cowell,100,2102,10:35:00,11:25:00,3
Cowell to Sci Hill,2102,1615,10:35:00,11:25:00,4
Sci Hill to Oakes,1615,1505,10:35:00,11:25:00,4
Oakes to WRM,1505,101,10:35:00,11:25:00,1
ERM to Cowell,100,2102,11:25:00,11:35:00,3
Cowell to Sci Hill,2102,1615,11:25:00,11:35:00,4
Sci Hill to Oakes,1615,1505,11:25:00,11:35:00,5
Oakes to WRM,1505,101,11:25:00,11:35:00,1
ERM to Cowell,100,2102,11:35:00,11:55:00,3
Cowell to Sci Hill,2102,1615,11:35:00,11:55:00,4
Sci Hill to Oakes,1615,1505,11:35:00,11:55:00,5
Oakes to WRM,1505,101,11:35:00,11:55:00,1
ERM to Cowell,100,2102,11:55:00,12:05:00,3
Cowell to Sci Hill,2102,1615,11:55:00,12:05:00,4
Sci Hill to Oakes,1615,1505,11:55:00,12:05:00,4
Oakes to WRM,1505,101,11:55:00,12:05:00,1
ERM to Cowell,100,2102,12:05:00,12:35:00,3
Cowell to Sci Hill,2102,1615,12:05:00,12:35:00,4
Sci Hill to Oakes,1615,1505,12:05:00,12:35:00,4
Oakes to WRM,1505,101,12:05:00,12:35:00,1
ERM to Cowell,100,2102,12:35:00,12:55:00,3
Cowell to Sci Hill,2102,1615,12:35:00,12:55:00,4
Sci Hill to Oakes,1615,1505,12:35:00,12:55:00,5
Oakes to WRM,1505,101,12:35:00,12:55:00,1
ERM to Cowell,100,2102,12:55:00,13:15:00,3
Cowell to Sci Hill,2102,1615,12:55:00,13:15:00,4
Sci Hill to Oakes,1615,1505,12:55:00,13:15:00,5
Oakes to WRM,1505,101,12:55:00,13:15:00,1
ERM to Cowell,100,2102,13:15:00,14:05:00,3
Cowell to Sci Hill,2102,1615,13:15:00,14:05:00,4
Sci Hill to Oakes,1615,1505,13:15:00,14:05:00,4
Oakes to WRM,1505,101,13:15:00,14:05:00,1
ERM to Cowell,100,2102,14:05:00,14:15:00,3
Cowell to Sci Hill,2102,1615,14:05:00,14:15:00,4
Sci Hill to Oakes,1615,1505,14:05:00,14:15:00,5
Oakes to WRM,1505,101,14:05:00,14:15:00,1
ERM to Cowell,100,2102,14:15:00,14:35:00,3
Cowell to Sci Hill,2102,1615,14:15:00,14:35:00,4
Sci Hill to Oakes,1615,1505,14:15:00,14:35:00,6
Oakes to WRM,1505,101,14:15:00,14:35:00,1
ERM to Cowell,100,2102,14:35:00,15:25:00,3
Cowell to Sci Hill,2102,1615,14:35:00,15:25:00,4
Sci Hill to Oakes,1615,1505,14:35:00,15:25:00,5
Oakes to WRM,1505,101,14:35:00,15:25:00,1
ERM to Cowell,100,2102,15:25:00,15:45:00,3
Cowell to Sci Hill,2102,1615,15:25:00,15:45:00,4
Sci Hill to Oakes,1615,1505,15:25:00,15:45:00,5
Oakes to WRM,1505,101,15:25:00,15:45:00,1
ERM to Cowell,100,2102,15:45:00,16:05:00,3
Cowell to Sci Hill,2102,1615,15:45:00,16:05:00,4
Sci Hill to Oakes,1615,1505,15:45:00,16:05:00,5
Oakes to WRM,1505,101,15:45:00,16:05:00,1
ERM to Cowell,100,2102,16:05:00,16:55:00,3
Cowell to Sci Hill,2102,1615,16:05:00,16:55:00,4
Sci Hill to Oakes,1615,1505,16:05:00,16:55:00,5
Oakes to WRM,1505,101,16:05:00,16:55:00,1
ERM to Cowell,100,2102,16:55:00,17:05:00,3
Cowell to Sci Hill,2102,1615,16:55:00,17:05:00,4
Sci Hill to Oakes,1615,1505,16:55:00,17:05:00,5
Oakes to WRM,1505,101,16:55:00,17:05:00,1
ERM to Cowell,100,2102,17:05:00,17:25:00,3
Cowell to Sci Hill,2102,1615,17:05:00,17:25:00,4
Sci Hill to Oakes,1615,1505,17:05:00,17:25:00,5
Oakes to WRM,1505,101,17:05:00,17:25:00,1
ERM to Cowell,100,2102,17:25:00,18:45:00,3
Cowell to Sci Hill,2102,1615,17:25:00,18:45:00,4
Sci Hill to Oakes,1615,1505,17:25:00,18:45:00,5
Oakes to WRM,1505,101,17:25:00,18:45:00,1
ERM to Cowell,100,2102,18:45:00,19:05:00,3
Cowell to Sci Hill,2102,1615,18:45:00,19:05:00,4
Sci Hill to Oakes,1615,1505,18:45:00,19:05:00,6
Oakes to WRM,1505,101,18:45:00,19:05:00,1
ERM to Cowell,100,2102,19:05:00,19:55:00,3
Cowell to Sci Hill,2102,1615,19:05:00,19:55:00,4
Sci Hill to Oakes,1615,1505,19:05:00,19:55:00,5
Oakes to WRM,1505,101,19:05:00,19:55:00,1
ERM to Cowell,100,2102,19:55:00,23:59:00,3
Cowell to Sci Hill,2102,1615,19:55:00,23:59:00,4
Sci Hill to Oakes,1615,1505,19:55:00,23:59:00,4
Oakes to WRM,1505,101,19:55:00,23:59:00,1
