route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,trip_start_time
LOOP,3B,1500,Counter Clockwise,0,301,LOOP_OUTER,,,07:25:00
LOOP,3B,1501,Clockwise,1,304,LOOP_INNER,,,07:25:00
LOOP,3B,1502,Counter Clockwise,0,302,LOOP_OUTER,,,07:30:00
LOOP,3B,1503,Clockwise,1,305,LOOP_INNER,,,07:30:00
UC,3B,1504,Upper Campus to Oakes/West Remote,0,323,UC_ERM_TO_WRM,,,07:30:00
LOOP,3B,1505,Clockwise,1,306,LOOP_INNER,,,07:35:00
LOOP,3B,1506,Counter Clockwise,0,303,LOOP_OUTER,,,07:40:00
LOOP,3B,1507,Counter Clockwise,0,301,LOOP_OUTER_TO_MG,,,07:45:00
LOOP,3B,1508,Clockwise,1,304,LOOP_INNER_TO_MG,,,07:45:00
UC,3B,1509,Upper Campus to East Remote,1,323,UC_WRM_TO_ERM,,,07:45:00
LOOP,3B,1510,Counter Clockwise,0,302,LOOP_OUTER,,,07:50:00
LOOP,3B,1511,Clockwise,1,305,LOOP_INNER,,,07:50:00
LOOP,3B,1512,Clockwise,1,306,LOOP_INNER_TO_MG,,,07:55:00
LOOP,3B,1513,Counter Clockwise,0,303,LOOP_OUTER_TO_MG,,,08:00:00
UC,3B,1514,Upper Campus to Oakes/West Remote,0,323,UC_ERM_TO_WRM,,,08:00:00
LOOP,3B,1515,Counter Clockwise,0,302,LOOP_OUTER_TO_MG,,,08:15:00
LOOP,3B,1516,Clockwise,1,305,LOOP_INNER_TO_MG,,,08:15:00
UC,3B,1517,Upper Campus to East Remote,1,323,UC_WRM_TO_ERM,,,08:15:00
LOOP,3B,1518,Clockwise,1,306,LOOP_INNER,,,08:25:00
LOOP,3B,1519,Counter Clockwise,0,301,LOOP_OUTER,,,08:30:00
LOOP,3B,1520,Clockwise,1,304,LOOP_INNER,,,08:30:00
LOOP,3B,1521,Counter Clockwise,0,303,LOOP_OUTER,,,08:40:00
LOOP,3B,1522,Clockwise,1,306,LOOP_INNER,,,08:45:00
LOOP,3B,1523,Counter Clockwise,0,301,LOOP_OUTER,,,08:50:00
LOOP,3B,1524,Clockwise,1,304,LOOP_INNER,,,08:50:00
LOOP,3B,1525,Counter Clockwise,0,303,LOOP_OUTER_TO_MG,,,09:00:00
LOOP,3B,1526,Clockwise,1,305,LOOP_INNER,,,09:00:00
UC,3B,1527,Upper Campus to Oakes/West Remote,0,323,UC_ERM_TO_WRM,,,09:00:00
LOOP,3B,1528,Clockwise,1,306,LOOP_INNER_TO_MG,,,09:05:00
LOOP,3B,1529,Counter Clockwise,0,301,LOOP_OUTER_TO_MG,,,09:10:00
LOOP,3B,1530,Clockwise,1,304,LOOP_INNER_TO_MG,,,09:10:00
UC,3B,1531,Upper Campus to East Remote,1,323,UC_WRM_TO_ERM,,,09:15:00
LOOP,3B,1532,Counter Clockwise,0,302,LOOP_OUTER,,,09:25:00
LOOP,3B,1533,Clockwise,1,305,LOOP_INNER_TO_MG,,,09:25:00
UC,3B,1534,Upper Campus to Oakes/West Remote,0,323,UC_ERM_TO_WRM,,,09:30:00
LOOP,3B,1535,Counter Clockwise,0,302,LOOP_OUTER,,,09:45:00
UC,3B,1536,Upper Campus to Oakes/West Remote,0,307,UC_ERM_TO_WRM,,,09:45:00
UC,3B,1537,Upper Campus to East Remote,1,323,UC_WRM_TO_ERM,,,09:45:00
LOOP,3B,1538,Counter Clockwise,0,303,LOOP_OUTER,,,09:50:00
LOOP,3B,1539,Clockwise,1,306,LOOP_INNER,,,09:55:00
UC,3B,1540,Upper Campus to East Remote,1,307,UC_WRM_TO_ERM,,,10:00:00
LOOP,3B,1541,Counter Clockwise,0,302,LOOP_OUTER_TO_MG,,,10:05:00
LOOP,3B,1542,Clockwise,1,305,LOOP_INNER,,,10:05:00
LOOP,3B,1543,Counter Clockwise,0,303,LOOP_OUTER,,,10:10:00
LOOP,3B,1544,Clockwise,1,306,LOOP_INNER,,,10:15:00
UC,3B,1545,Upper Campus to Oakes/West Remote,0,323,UC_ERM_TO_WRM,,,10:15:00
LOOP,3B,1546,Counter Clockwise,0,301,LOOP_OUTER_TO_MG,,,10:20:00
LOOP,3B,1547,Clockwise,1,304,LOOP_INNER_TO_MG,,,10:20:00
LOOP,3B,1548,Clockwise,1,305,LOOP_INNER_TO_MG,,,10:25:00
LOOP,3B,1549,Counter Clockwise,0,303,LOOP_OUTER_TO_MG,,,10:30:00
UC,3B,1550,Upper Campus to Oakes/West Remote,0,307,UC_ERM_TO_WRM,,,10:30:00
UC,3B,1551,Upper Campus to East Remote,1,323,UC_WRM_TO_ERM,,,10:30:00
LOOP,3B,1552,Clockwise,1,306,LOOP_INNER,,,10:35:00
LOOP,3B,1553,Clockwise,1,306,LOOP_INNER_TO_MG,,,10:55:00
UC,3B,1554,Upper Campus to Oakes/West Remote,0,323,UC_ERM_TO_WRM,,,11:00:00
LOOP,3B,1555,Counter Clockwise,0,301,LOOP_OUTER,,,11:05:00
LOOP,3B,1556,Clockwise,1,304,LOOP_INNER,,,11:05:00
LOOP,3B,1557,Counter Clockwise,0,302,LOOP_OUTER,,,11:15:00
UC,3B,1558,Upper Campus to East Remote,1,323,UC_WRM_TO_ERM,,,11:15:00
LOOP,3B,1559,Clockwise,1,304,LOOP_INNER,,,11:25:00
LOOP,3B,1560,Counter Clockwise,0,301,LOOP_OUTER,,,11:30:00
UC,3B,1561,Upper Campus to East Remote,1,307,UC_WRM_TO_ERM,,,11:30:00
UC,3B,1562,Upper Campus to Oakes/West Remote,0,323,UC_ERM_TO_WRM,,,11:30:00
LOOP,3B,1563,Counter Clockwise,0,302,LOOP_OUTER,,,11:35:00
LOOP,3B,1564,Clockwise,1,305,LOOP_INNER,,,11:35:00
LOOP,3B,1565,Counter Clockwise,0,303,LOOP_OUTER,,,11:40:00
LOOP,3B,1566,Clockwise,1,304,LOOP_INNER_TO_MG,,,11:45:00
UC,3B,1567,Upper Campus to Oakes/West Remote,0,307,UC_ERM_TO_WRM,,,11:45:00
UC,3B,1568,Upper Campus to East Remote,1,323,UC_WRM_TO_ERM,,,11:45:00
LOOP,3B,1569,Counter Clockwise,0,301,LOOP_OUTER_TO_MG,,,11:50:00
LOOP,3B,1570,Counter Clockwise,0,302,LOOP_OUTER,,,11:55:00
LOOP,3B,1571,Clockwise,1,305,LOOP_INNER,,,11:55:00
UC,3B,1572,Upper Campus to East Remote,1,307,UC_WRM_TO_ERM,,,12:00:00
LOOP,3B,1573,Counter Clockwise,0,303,LOOP_OUTER_TO_MG,,,12:05:00
LOOP,3B,1574,Clockwise,1,306,LOOP_INNER,,,12:05:00
LOOP,3B,1575,Counter Clockwise,0,302,LOOP_OUTER_TO_MG,,,12:15:00
UC,3B,1576,Upper Campus to Oakes/West Remote,0,307,UC_ERM_TO_WRM,,,12:15:00
LOOP,3B,1577,Clockwise,1,305,LOOP_INNER_TO_MG,,,12:20:00
LOOP,3B,1578,Clockwise,1,306,LOOP_INNER,,,12:25:00
LOOP,3B,1579,Counter Clockwise,0,301,LOOP_OUTER,,,12:35:00
LOOP,3B,1580,Clockwise,1,304,LOOP_INNER,,,12:35:00
LOOP,3B,1581,Counter Clockwise,0,303,LOOP_OUTER,,,12:45:00
LOOP,3B,1582,Clockwise,1,306,LOOP_INNER,,,12:45:00
UC,3B,1583,Upper Campus to East Remote,1,325,UC_WRM_TO_ERM,,,12:45:00
LOOP,3B,1584,Counter Clockwise,0,301,LOOP_OUTER,,,12:55:00
LOOP,3B,1585,Clockwise,1,304,LOOP_INNER,,,12:55:00
LOOP,3B,1586,Counter Clockwise,0,302,LOOP_OUTER,,,13:00:00
LOOP,3B,1587,Clockwise,1,305,LOOP_INNER,,,13:00:00
UC,3B,1588,Upper Campus to East Remote,1,307,UC_WRM_TO_ERM,,,13:00:00
UC,3B,1589,Upper Campus to Oakes/West Remote,0,325,UC_ERM_TO_WRM,,,13:00:00
LOOP,3B,1590,Counter Clockwise,0,303,LOOP_OUTER,,,13:05:00
LOOP,3B,1591,Clockwise,1,306,LOOP_INNER_TO_MG,,,13:05:00
LOOP,3B,1592,Clockwise,1,304,LOOP_INNER_TO_MG,,,13:15:00
UC,3B,1593,Upper Campus to Oakes/West Remote,0,307,UC_ERM_TO_WRM,,,13:15:00
LOOP,3B,1594,Counter Clockwise,0,321,LOOP_OUTER,,,13:15:00
UC,3B,1595,Upper Campus to East Remote,1,325,UC_WRM_TO_ERM,,,13:15:00
