segment,start_stop,end_stop,start_time,end_time,run
Main Gate to Cowell,1341,2102,06:00:00,19:55:00,6
Cowell to Sci Hill,2102,1615,06:00:00,19:55:00,4
Sci Hill to Oakes,1615,1505,06:00:00,19:55:00,5
Oakes to WRM,1505,101,06:00:00,19:55:00,1
Main Gate to Cowell,1341,2102,19:55:00,21:15:00,5
Cowell to Sci Hill,2102,1615,19:55:00,21:15:00,4
Sci Hill to Oakes,1615,1505,19:55:00,21:15:00,5
Oakes to WRM,1505,101,19:55:00,21:15:00,1
Main Gate to Cowell,1341,2102,21:15:00,23:59:00,5
Cowell to Sci Hill,2102,1615,21:15:00,23:59:00,3
Sci Hill to Oakes,1615,1505,21:15:00,23:59:00,4
Oakes to WRM,1505,101,21:15:00,23:59:00,1
