stop_id,stop_sequence,timepoint,shape_dist_traveled,drop_off_type,pickup_type,stop_headsign
1341,1,1,0,,,
1342,2,0,0.517,,,
2669,3,0,1.107,,,
1501,4,0,1.74,,,
2101,5,0,2.09,,,
2102,6,1,2.457,,,
1617,7,0,2.638,,,
1616,8,0,2.972,,,
1615,9,1,3.36,,,Counter Clockwise to Main Entrance
1509,10,0,3.568,,,Counter Clockwise to Main Entrance
2448,11,0,4.384,,,Counter Clockwise to Main Entrance
2516,12,0,4.605,,,Counter Clockwise to Main Entrance
1505,13,1,4.868,,,Counter Clockwise to Main Entrance
2328,14,0,5.73,,,Counter Clockwise to Main Entrance
2739,15,0,6.391,,,Counter Clockwise to Main Entrance
1510,16,0,6.581,,,Counter Clockwise to Main Entrance
1341,17,1,7.054,,1,Counter Clockwise to Main Entrance
