stop_id,stop_sequence,timepoint,shape_dist_traveled,drop_off_type,pickup_type,stop_headsign
1341,1,1,,,,
1342,2,0,,,,
2669,3,0,,,,
1501,4,0,,,,
2101,5,0,,,,
2102,6,1,,,,
1617,7,0,,,,
1616,8,0,,,,
1615,9,1,,,,
1509,10,0,,,,
2448,11,0,,,,
2516,12,0,,,,
1505,13,1,,,,
101,14,1,,,,Upper Campus via McHenry
2670,15,1,,,,Upper Campus via McHenry
2671,16,0,,,,Upper Campus via McHenry
2672,17,0,,,,Upper Campus via McHenry
2673,18,0,,,,Upper Campus via McHenry
120,19,1,,,,Upper Campus via McHenry
2676,20,1,,,1,Drop Off Only
