from_trip_id,to_trip_id,transfer_type,min_transfer_time
21516,21517,5,
21517,21518,5,
21518,21519,5,
21519,21520,5,
21520,21521,5,
21521,21522,5,
21522,21523,5,
21523,21524,5,
21524,21525,5,
21525,21526,5,
21526,21527,5,
21527,21528,5,
21528,21529,5,
21529,21530,5,
20101,20102,5,
20102,20103,5,
20103,20104,5,
20104,20105,5,
20105,20106,5,
20106,20107,5,
20107,20108,5,
20108,20109,5,
20109,20110,5,
20110,20111,5,
20111,20112,5,
20112,20113,5,
20113,20114,5,
20201,20202,5,
20202,20203,5,
20203,20204,5,
20204,20205,5,
20205,20206,5,
20206,20207,5,
20207,20208,5,
20208,20209,5,
20209,20210,5,
20210,20211,5,
20211,20212,5,
20212,20213,5,
20213,20214,5,
20214,20215,5,
20301,20302,5,
20302,20303,5,
20303,20304,5,
20304,20305,5,
20305,20306,5,
20306,20307,5,
20307,20308,5,
20308,20309,5,
20309,20310,5,
20310,20311,5,
20311,20312,5,
20312,20313,5,
20401,20402,5,
20402,20403,5,
20403,20404,5,
20404,20405,5,
20405,20406,5,
20406,20408,5,
20408,20409,5,
20409,20410,5,
20410,20411,5,
20411,20412,5,
20412,20413,5,
20413,20414,5,
20414,20415,5,
20415,20416,5,
20501,20502,5,
20502,20503,5,
20503,20504,5,
20504,20505,5,
20505,20506,5,
20506,20507,5,
20507,20508,5,
20508,20509,5,
20509,20510,5,
20510,20511,5,
20511,20512,5,
20512,20513,5,
20513,20514,5,
20514,20515,5,
20601,20602,5,
20602,20603,5,
20603,20604,5,
20604,20605,5,
20605,20606,5,
20606,20607,5,
20607,20608,5,
20608,20609,5,
20609,20610,5,
20610,20611,5,
20611,20612,5,
20612,20613,5,
20613,20614,5,
20614,20615,5,
21101,21102,5,
21102,21103,5,
21103,21104,5,
21104,21105,5,
21105,21106,5,
21106,21107,5,
21107,21108,5,
21108,21109,5,
21109,21110,5,
21110,21111,5,
21111,21112,5,
21112,21113,5,
21113,21114,5,
21114,21115,5,
21115,21116,5,
21201,21202,5,
21202,21203,5,
21203,21200,5,
21206,21207,5,
21207,21208,5,
21208,21209,5,
21209,21210,5,
21210,21211,5,
21211,21212,5,
21212,21213,5,
21213,21214,5,
21214,21215,5,
21301,21302,5,
21302,21303,5,
21303,21304,5,
21304,21305,5,
21305,21306,5,
